Sm100,gr0,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,nb_veh,km_totaux,Sm100
101,34,175,863,1169,1112,1180,807,517,160,95,6112,168219.35250513031,101
102,66,347,2317,2881,2600,2608,1941,1276,425,186,14647,495262.4112037639,102
103,53,327,4509,5418,3880,3811,2954,1859,683,252,23746,632611.737832573,103
104,52,281,3670,4877,3701,3827,2976,1707,612,203,21906,498916.4738023784,104
105,59,365,4604,6128,4234,4854,3779,2385,678,242,27328,779829.6104101109,105
106,72,317,3824,4928,3647,3316,2694,1452,582,195,21027,658041.1744430037,106
107,69,384,6517,8306,5399,4688,3679,2227,837,264,32370,883545.766109034,107
108,161,632,10204,13035,8361,8323,6367,3813,1130,426,52454,1179949.2011489668,108
109,15,122,3177,4544,2843,3086,2687,1805,576,210,19066,466854.2296892714,109
110,90,447,7781,8912,5702,5347,4035,2156,796,235,35503,955184.8703525724,110
111,30,224,4379,4906,3144,2782,2062,1272,489,188,19476,423965.2475069617,111
112,76,430,7890,8891,5832,5624,4417,2594,936,328,37019,937044.9999696801,112
113,52,293,5839,6128,3831,3679,2927,1913,767,268,25697,740836.1134372725,113
114,41,292,5138,6727,4420,5327,3892,2450,970,373,29630,762811.2070884123,114
115,1,13,364,385,266,258,245,180,72,21,1805,47662.36423159599,115
116,26,221,3849,4668,3030,3080,2376,1325,466,136,19178,488550.6480957488,116
117,25,258,5437,7790,4929,5969,4883,2927,1069,353,33641,692519.070787701,117
118,25,210,5484,7236,4749,5177,4376,2978,964,405,31605,767729.2366019659,118
119,97,603,6940,9796,6624,7496,5652,3394,926,316,41845,976552.2862263357,119
120,103,343,1182,1691,1638,2120,1577,1039,306,108,10107,265548.43232063,120
121,86,228,970,1379,1288,1333,1094,675,208,96,7357,199791.0453067968,121
122,101,382,695,1141,1446,1868,1483,1053,405,221,8795,192105.44890124016,122
123,37,125,283,521,538,825,654,451,160,83,3677,82485.02848836868,123
124,18,227,2540,3312,2273,2740,2230,1252,292,140,15025,355831.74045392405,124
125,8,40,269,478,421,527,412,248,76,26,2505,78325.15191512104,125
126,2,31,419,488,314,368,275,194,59,40,2190,67291.84587274212,126
128,33,342,6544,8038,5283,5652,4585,2843,1010,348,34678,827518.3358991578,128
129,44,188,3812,4379,2887,2957,2297,1431,511,196,18702,501203.2913731759,129
130,34,134,2044,2428,1594,1749,1381,931,305,125,10726,281788.8847678609,130
131,47,241,3340,4225,2876,2970,2356,1336,457,183,18032,466348.6647061767,131
132,61,355,4630,6171,3985,4689,3712,2155,609,259,26628,781911.0662679318,132
133,8,50,613,736,490,518,445,328,96,34,3318,86420.66728241093,133
134,40,211,1589,1991,1393,1586,1297,865,336,144,9453,312471.84991627786,134
135,2,9,388,394,271,291,219,124,50,17,1765,37659.56043022214,135
136,73,371,6381,8135,5128,5708,4351,2850,849,316,34162,1012077.794256243,136
137,31,204,1948,2514,1878,2375,1855,1059,309,130,12304,443911.4242769675,137
138,65,262,1635,2200,1783,2153,1862,1171,352,160,11643,389305.02542347065,138
139,11,52,289,380,337,414,401,253,108,45,2290,85122.33967002048,139
142,39,220,3423,3755,2595,2318,1823,1123,412,157,15866,464119.25582747185,142
143,73,339,1591,1979,1840,2159,1483,891,282,111,10748,235935.76972060974,143
144,18,51,585,737,484,526,400,270,115,35,3221,140333.2006429087,144
301,50,227,3700,4067,2552,2347,1841,1141,446,188,16559,510600.0939111633,301
302,149,651,8567,9536,6042,5903,4537,2657,890,326,39264,1019099.939758633,302
303,34,104,3359,3503,2216,2178,1798,1203,454,175,15025,398932.08598198416,303
304,115,290,2141,2690,2073,2054,1625,886,264,101,12239,351879.95750596176,304
305,2,24,543,573,383,348,317,218,77,37,2522,88520.68380710004,305
306,22,95,1764,2062,1356,1270,1169,740,240,117,8837,229367.63070955768,306
307,157,629,10715,11927,7396,7583,6194,3961,1631,612,50809,1237778.6023430824,307
308,117,728,8626,10638,7093,7846,6333,3721,1111,380,46594,1158628.7396260756,308
309,175,596,5045,5972,4316,4175,3504,1887,688,201,26559,852186.2824238124,309
310,151,372,2905,3624,2509,2713,2214,1264,446,162,16360,612834.1134347004,310
401,55,184,3611,4091,2428,2525,2236,1483,707,238,17558,612895.1780550344,401
402,100,360,3687,4652,3166,3731,2835,1813,679,230,21256,658466.1147115278,402
403,96,516,9383,11733,7453,8243,6170,3903,1267,483,49250,1288912.4138875825,403
404,172,483,8373,9738,5862,6088,4632,2630,1077,304,39360,1139616.7708451108,404
405,102,387,6427,7638,4733,5149,3928,2393,959,364,32081,864441.5320490381,405
406,100,419,9052,10104,6312,6221,4941,3119,1138,356,41762,840777.9179670727,406
407,67,168,3006,3678,2432,2490,1912,1235,480,176,15644,347319.7220686773,407
408,116,371,3724,4391,2859,3208,2566,1801,751,285,20072,605454.3121361391,408
501,39,95,1404,1465,914,877,924,570,360,105,6753,277808.24827022396,501
502,23,89,1487,1682,949,953,920,592,331,108,7134,316421.87725767714,502
511,205,806,12974,13696,9081,8646,7722,5047,2446,1005,61631,2092930.3643209606,511
521,158,465,5433,6039,3787,3817,3531,2113,931,316,26593,854906.3245666819,521
522,73,165,2184,2543,1495,1668,1277,785,342,104,10636,355320.5336417036,522
523,107,309,4300,4791,2810,2945,2499,1532,744,235,20272,773189.0410156349,523
524,142,384,3879,4405,2977,2976,2638,1496,731,282,19912,828478.4495874943,524
525,29,75,937,1116,811,790,827,604,381,157,5727,297607.9170074324,525
531,142,395,5456,6192,3998,4269,3526,2407,1180,396,27961,950408.4444099301,531
532,106,366,4793,5257,3387,3377,3192,2010,1057,389,23936,970866.6438093669,532
533,49,265,4740,5187,3358,3238,3264,2403,1232,518,24254,889457.3951173588,533
541,27,78,1248,1353,890,921,822,661,345,140,6485,212369.17050978492,541
542,92,236,3227,3637,2431,2421,2001,1195,449,157,15846,444398.87203325704,542
543,85,297,2389,2884,2137,2272,1812,1100,380,126,13483,466089.3394438725,543
544,96,415,7286,7899,4879,5034,4186,2856,1275,462,34389,1124282.7899524139,544
545,37,115,2114,2274,1496,1576,1518,1004,526,174,10834,392874.63115939277,545
546,55,319,5641,6423,4267,4699,4061,2733,1266,494,29958,971770.554336584,546
547,1,69,200,257,415,649,964,999,585,292,4431,71994.16250281216,547
551,35,150,1957,2196,1716,1633,1635,1238,731,298,11589,476838.80828642147,551
561,14,99,1743,1927,1261,1231,1145,783,515,154,8872,307370.54414853867,561
562,38,276,5248,5808,3710,3677,3134,2297,1258,554,26001,826120.0185632162,562
563,13,34,474,529,338,407,413,360,264,107,2939,103105.1842605132,563
564,16,47,812,986,625,660,614,489,302,116,4667,199720.7912462844,564
571,48,179,3188,3485,2248,2220,2084,1476,931,364,16223,688623.525136559,571
572,87,287,5141,5873,3595,3674,3139,2076,895,328,25096,901956.0148808208,572
573,78,294,5444,6136,3615,3894,3101,1967,856,295,25682,987917.876343596,573
574,84,269,2804,3588,2481,2781,2640,1813,876,340,17676,935162.690482481,574
575,16,69,978,1220,825,823,840,658,423,179,6031,349473.5381578152,575
576,33,125,2210,2436,1554,1705,1612,1281,812,337,12106,715596.2952887531,576
601,42,164,2567,2670,1655,1711,1660,1224,769,298,12760,590182.2952918282,601
602,107,394,7550,8258,5213,4888,4139,2932,1686,621,35789,1479522.729093558,602
611,194,807,12971,13526,8199,8404,6873,4270,1922,612,57781,2153303.48551727,611
612,87,325,4873,5197,3096,3088,2716,1861,1067,420,22731,1091240.4416079174,612
621,127,391,4654,5074,3157,3348,2566,1733,736,224,22011,828395.9381214574,621
622,167,624,7483,8059,5152,4981,4312,2830,1311,407,35327,1269914.6946990404,622
623,152,523,6937,7241,4226,4306,3631,2504,1295,414,31230,1070366.271065835,623
624,41,206,3226,3413,2043,2119,1956,1399,743,274,15420,617656.4509306803,624
631,74,329,6143,6613,3970,3964,3477,2245,1031,344,28192,1015772.8938962566,631
632,42,142,2314,2500,1596,1517,1249,833,356,137,10687,279430.7396702083,632
633,74,319,4965,5357,3345,3455,3380,2454,1341,509,25200,962289.7941906851,633
641,56,227,3617,3992,2510,2438,1964,1269,575,161,16811,553900.5384421197,641
642,35,199,3822,3993,2387,2111,1694,1073,470,137,15921,488457.5796572698,642
643,164,612,7591,8292,5483,5565,4546,2950,1219,373,36795,1398804.1685444468,643
644,118,470,4015,4535,3141,3247,2877,1851,754,262,21270,708166.2509356115,644
645,20,84,1869,1998,1207,1208,1148,906,534,171,9145,364970.6896523133,645
651,105,490,7702,8214,5104,5054,4289,3070,1753,548,36332,1458155.7239513707,651
661,110,491,10678,11041,6813,6157,5333,3604,1815,652,46697,1353959.2125863621,661
662,47,150,2034,2310,1465,1556,1483,1195,805,261,11306,479585.5767029439,662
663,118,355,5100,5712,4005,3759,3574,2735,1894,704,27956,1428861.7203386433,663
671,92,334,5645,5951,4231,4060,4017,3196,2086,928,30540,1322933.9480391836,671
