ADIDU,no_corr,gr0,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9
24010018,0,1,0,58,50,34,25,58,72,60,18
24010019,0,0,1,81,87,42,38,61,56,44,16
24010020,0,1,0,79,81,55,44,58,46,53,10
24010021,0,1,3,62,74,53,31,44,40,42,10
24010022,0,0,3,78,91,49,44,45,50,45,12
24010023,0,1,0,78,95,47,37,47,39,41,14
24010024,0,0,3,64,68,45,37,45,44,21,9
24010025,0,0,0,47,59,36,45,48,52,36,11
24010026,0,2,0,63,49,43,31,48,40,21,7
24010027,0,0,1,83,87,61,56,73,54,30,12
24010028,0,0,1,90,109,56,63,69,60,51,11
24010029,0,0,1,76,89,44,43,67,47,46,19
24010030,0,0,0,90,89,39,40,69,43,45,7
24010031,0,0,1,77,100,50,53,73,59,56,16
24010032,0,0,1,72,81,46,43,61,40,45,19
24010033,0,0,0,61,85,38,48,47,45,40,15
24010034,0,2,0,81,104,45,44,59,57,48,18
24010035,0,0,1,88,110,41,37,63,45,68,13
24010036,0,0,0,89,89,63,59,72,53,48,15
24010037,0,0,6,164,188,106,107,107,101,94,32
24010038,0,0,2,94,98,53,70,77,67,62,27
24020035,0,0,2,49,60,40,38,44,45,45,20
24020036,0,0,3,71,77,56,55,54,54,45,21
24020037,0,0,5,69,61,57,51,42,35,25,11
24020038,0,0,3,63,56,37,34,33,32,28,13
24020039,0,0,5,55,60,38,36,35,26,33,12
24020040,0,0,5,67,74,45,43,44,32,41,16
24020041,0,0,2,74,80,47,51,47,40,35,14
24020042,0,0,3,86,93,55,60,54,47,42,17
24020043,0,0,5,59,57,46,46,43,33,31,16
24020044,0,0,5,61,56,46,44,42,31,29,15
24020045,0,0,5,64,59,49,47,45,33,31,16
24020046,0,0,5,68,63,52,50,48,35,33,17
24020047,0,1,5,55,63,45,48,45,41,34,17
24020048,0,1,6,67,76,53,58,54,49,41,20
24020049,1,1,5,59,67,50,53,50,45,37,19
24020050,0,1,4,66,74,67,58,57,50,40,17
24020051,0,0,3,41,46,42,36,35,30,25,11
24020052,0,0,5,76,85,77,66,65,56,46,20
24020053,0,0,3,66,73,63,51,44,37,31,10
24020054,0,0,2,56,62,53,42,36,30,25,8
24020055,0,0,4,78,87,76,63,56,48,40,14
24020056,0,0,1,42,47,40,32,27,23,19,6
24020057,0,0,2,47,52,44,35,30,25,21,7
24020058,0,0,3,90,94,79,64,58,51,40,14
24020059,0,0,3,61,60,47,43,39,38,28,9
24020060,0,0,5,110,104,85,78,62,55,43,19
24020061,0,2,6,146,137,116,104,82,75,58,24
24020062,0,0,2,63,57,49,44,33,27,23,11
24020063,0,0,1,66,62,46,50,35,39,29,13
24020064,0,0,1,65,62,46,50,36,39,29,13
24020065,0,0,3,68,62,50,48,46,35,34,13
24020066,0,0,2,67,63,51,49,48,34,36,13
24020067,0,1,3,76,72,58,54,53,38,42,14
24020069,0,0,1,56,58,40,40,38,42,28,17
24030034,0,0,3,44,38,23,26,19,27,26,10
24030035,0,0,4,51,43,27,30,23,32,30,12
24030036,1,0,0,21,23,18,13,23,8,19,6
24030037,0,0,1,58,64,39,36,37,40,40,13
24030038,0,0,1,74,83,50,47,48,51,51,17
24030040,0,0,1,34,39,31,32,43,32,32,17
24030041,0,0,1,21,25,20,20,27,21,21,11
24030042,0,0,0,1,1,1,0,0,0,0,0
24030043,0,0,0,41,51,33,20,33,39,26,8
24030044,0,0,1,138,166,103,93,86,100,84,38
24030045,0,1,3,119,138,99,82,100,70,55,15
24030046,0,1,1,53,68,28,36,25,29,32,11
24030047,0,0,3,62,78,36,40,48,32,21,8
24030048,0,0,1,62,70,54,47,31,18,19,8
24030049,0,2,3,185,235,134,121,85,64,44,25
24030050,0,0,0,51,62,37,27,18,18,9,7
24030051,0,0,2,98,128,73,83,72,59,59,20
24030052,0,1,3,94,105,65,62,69,42,48,11
24030053,0,1,2,73,89,60,56,56,59,46,18
24030054,0,0,1,53,81,58,37,44,49,48,22
24030055,0,0,1,102,116,83,69,64,55,55,22
24030056,0,0,4,56,87,41,46,56,34,34,14
24030057,0,0,2,76,93,63,51,55,40,26,20
24030058,0,1,1,47,56,36,26,26,29,27,9
24030059,0,0,3,62,66,42,30,24,37,38,12
24030060,0,0,1,61,75,43,39,26,42,27,14
24030061,0,0,4,72,87,57,49,60,32,36,21
24030062,0,0,2,130,147,75,97,85,70,79,33
24030063,0,0,1,94,107,49,54,56,54,55,22
24030064,0,0,8,98,130,69,62,64,63,67,22
24030065,0,0,1,70,72,51,35,34,45,40,13
24040028,0,0,1,36,32,25,26,20,26,40,11
24040029,0,0,1,35,38,28,28,42,39,35,19
24040030,0,2,2,28,37,27,33,26,32,35,17
24040031,0,1,1,34,42,31,36,32,38,40,18
24040032,0,0,0,10,16,10,14,29,15,23,12
24040033,0,0,0,16,16,16,4,11,18,19,8
24040034,0,0,1,22,39,16,21,27,19,27,7
24040035,0,0,0,24,29,17,18,19,18,18,7
24040036,0,0,2,14,20,28,20,28,17,20,12
24040037,0,1,1,71,80,66,58,73,70,86,20
24040038,0,0,0,49,60,32,42,55,39,48,19
24040039,0,0,1,33,48,24,27,42,19,27,16
24040040,0,0,1,46,42,45,35,38,46,38,15
24040041,0,0,1,46,64,53,46,46,44,40,20
24040042,0,2,1,40,86,60,67,71,49,48,11
24040043,0,0,0,20,33,17,39,24,18,16,4
24040044,0,0,2,30,52,49,34,36,26,17,9
24040045,0,0,2,37,60,49,38,31,27,28,7
24040046,0,0,1,40,45,30,40,34,23,13,6
24040047,0,0,3,37,63,45,55,51,48,44,10
24040048,0,0,0,45,64,26,36,34,37,37,15
24040049,0,0,1,31,57,38,39,48,28,42,20
24040050,0,0,1,20,37,25,25,23,18,21,3
24040051,0,0,2,28,44,32,29,32,36,26,13
24040052,0,0,1,27,43,30,29,31,34,26,12
24040053,0,0,1,44,62,42,46,47,49,43,16
24040054,0,0,1,29,40,25,30,30,31,28,11
24040055,0,0,1,39,52,34,41,41,42,37,15
