import des bases...
importé

filtrage ADs dans base vehicules...
fin

emissions totales : 5.792215207805185 Mtonnes de CO2

on part de 5.792215207805185 et on veut 2.31 (diminution de 60.11888513936421%)

3.482215207805185 Mtonnes encore à gagner
3.482215207805185 Mtonnes encore à gagner
3.482215207805185 Mtonnes encore à gagner
3.482215207805185 Mtonnes encore à gagner
3.481964692342759 Mtonnes encore à gagner
3.481964692342759 Mtonnes encore à gagner
3.481964692342759 Mtonnes encore à gagner
3.4818367611557863 Mtonnes encore à gagner
3.4818367611557863 Mtonnes encore à gagner
3.4815948708973026 Mtonnes encore à gagner
3.4815948708973026 Mtonnes encore à gagner
3.4815948708973026 Mtonnes encore à gagner
3.4815948708973026 Mtonnes encore à gagner
3.479589949129339 Mtonnes encore à gagner
3.4794866127201414 Mtonnes encore à gagner
3.4789813628181654 Mtonnes encore à gagner
3.4779718037142335 Mtonnes encore à gagner
3.4779718037142335 Mtonnes encore à gagner
3.4779718037142335 Mtonnes encore à gagner
3.4779718037142335 Mtonnes encore à gagner
3.4779718037142335 Mtonnes encore à gagner
3.4779718037142335 Mtonnes encore à gagner
3.4779718037142335 Mtonnes encore à gagner
3.4779718037142335 Mtonnes encore à gagner
3.4779718037142335 Mtonnes encore à gagner
3.477704455416202 Mtonnes encore à gagner
3.477704455416202 Mtonnes encore à gagner
3.471849529888987 Mtonnes encore à gagner
3.471849529888987 Mtonnes encore à gagner
3.471849529888987 Mtonnes encore à gagner
3.471849529888987 Mtonnes encore à gagner
3.471714283838914 Mtonnes encore à gagner
3.4691745870468513 Mtonnes encore à gagner
3.468988946458541 Mtonnes encore à gagner
3.468633354174982 Mtonnes encore à gagner
3.465642514187993 Mtonnes encore à gagner
3.465642514187993 Mtonnes encore à gagner
3.464811448938096 Mtonnes encore à gagner
3.464811448938096 Mtonnes encore à gagner
3.464811448938096 Mtonnes encore à gagner
3.464811448938096 Mtonnes encore à gagner
3.4611101566034415 Mtonnes encore à gagner
3.460981280010572 Mtonnes encore à gagner
3.4609046546581257 Mtonnes encore à gagner
3.460549773266561 Mtonnes encore à gagner
3.460549773266561 Mtonnes encore à gagner
3.460523622848299 Mtonnes encore à gagner
3.460523622848299 Mtonnes encore à gagner
3.460052000337489 Mtonnes encore à gagner
3.460052000337489 Mtonnes encore à gagner
3.460052000337489 Mtonnes encore à gagner
3.459984546989 Mtonnes encore à gagner
3.459984546989 Mtonnes encore à gagner
3.459984546989 Mtonnes encore à gagner
3.459778288675864 Mtonnes encore à gagner
3.459600065529592 Mtonnes encore à gagner
3.459600065529592 Mtonnes encore à gagner
3.457234531656629 Mtonnes encore à gagner
3.457234531656629 Mtonnes encore à gagner
3.448652383064259 Mtonnes encore à gagner
3.4414908157177426 Mtonnes encore à gagner
3.4414908157177426 Mtonnes encore à gagner
3.4413320726375507 Mtonnes encore à gagner
3.4409682910268518 Mtonnes encore à gagner
3.4383276356256824 Mtonnes encore à gagner
3.4383276356256824 Mtonnes encore à gagner
3.4381706520917112 Mtonnes encore à gagner
3.4380933552088355 Mtonnes encore à gagner
3.437174015825342 Mtonnes encore à gagner
3.4337852536830167 Mtonnes encore à gagner
3.4337852536830167 Mtonnes encore à gagner
3.4337852536830167 Mtonnes encore à gagner
3.4337852536830167 Mtonnes encore à gagner
3.4337852536830167 Mtonnes encore à gagner
3.432286266884907 Mtonnes encore à gagner
3.4210619830137836 Mtonnes encore à gagner
3.418583090982875 Mtonnes encore à gagner
3.418359324989909 Mtonnes encore à gagner
3.4179921208142416 Mtonnes encore à gagner
3.4178367882487195 Mtonnes encore à gagner
3.4177255570470755 Mtonnes encore à gagner
3.4177255570470755 Mtonnes encore à gagner
3.4177255570470755 Mtonnes encore à gagner
3.4177255570470755 Mtonnes encore à gagner
