import des bases...
importé

filtrage ADs dans base vehicules...
fin

emissions totales : 5.014782117362005 Mtonnes de CO2

on part de 5.014782117362005 et on veut 1.9822 (diminution de 60.47285896754525%)

3.032582117362005 Mtonnes encore à gagner
3.032582117362005 Mtonnes encore à gagner
3.032582117362005 Mtonnes encore à gagner
3.032582117362005 Mtonnes encore à gagner
3.032366400690387 Mtonnes encore à gagner
3.032366400690387 Mtonnes encore à gagner
3.032366400690387 Mtonnes encore à gagner
3.0322562402652276 Mtonnes encore à gagner
3.0322562402652276 Mtonnes encore à gagner
3.0320479506812177 Mtonnes encore à gagner
3.0320479506812177 Mtonnes encore à gagner
3.0320479506812177 Mtonnes encore à gagner
3.0320479506812177 Mtonnes encore à gagner
3.030322799444799 Mtonnes encore à gagner
3.030233817367473 Mtonnes encore à gagner
3.02979875109997 Mtonnes encore à gagner
3.028930067760692 Mtonnes encore à gagner
3.028930067760692 Mtonnes encore à gagner
3.028930067760692 Mtonnes encore à gagner
3.028930067760692 Mtonnes encore à gagner
3.028930067760692 Mtonnes encore à gagner
3.028930067760692 Mtonnes encore à gagner
3.028930067760692 Mtonnes encore à gagner
3.028930067760692 Mtonnes encore à gagner
3.028930067760692 Mtonnes encore à gagner
3.028699856481693 Mtonnes encore à gagner
3.028699856481693 Mtonnes encore à gagner
3.0236652881908244 Mtonnes encore à gagner
3.0236652881908244 Mtonnes encore à gagner
3.0236652881908244 Mtonnes encore à gagner
3.0236652881908244 Mtonnes encore à gagner
3.0235488290010855 Mtonnes encore à gagner
3.02136352624715 Mtonnes encore à gagner
3.0212036727617013 Mtonnes encore à gagner
3.020897475359275 Mtonnes encore à gagner
3.0183256940289125 Mtonnes encore à gagner
3.0183256940289125 Mtonnes encore à gagner
3.0176105971775975 Mtonnes encore à gagner
3.0176105971775975 Mtonnes encore à gagner
3.0176105971775975 Mtonnes encore à gagner
3.0176105971775975 Mtonnes encore à gagner
3.0144257900945943 Mtonnes encore à gagner
3.014314815588693 Mtonnes encore à gagner
3.0142488341685 Mtonnes encore à gagner
3.013943248908947 Mtonnes encore à gagner
3.013943248908947 Mtonnes encore à gagner
3.0139207310127087 Mtonnes encore à gagner
3.0139207310127087 Mtonnes encore à gagner
3.0135146209973556 Mtonnes encore à gagner
3.0135146209973556 Mtonnes encore à gagner
3.0135146209973556 Mtonnes encore à gagner
3.0134565375094757 Mtonnes encore à gagner
3.0134565375094757 Mtonnes encore à gagner
3.0134565375094757 Mtonnes encore à gagner
3.0132789302816727 Mtonnes encore à gagner
3.0131254638906295 Mtonnes encore à gagner
3.0131254638906295 Mtonnes encore à gagner
3.0110900210364795 Mtonnes encore à gagner
3.0110900210364795 Mtonnes encore à gagner
3.003710351906644 Mtonnes encore à gagner
2.9975574263274307 Mtonnes encore à gagner
2.9975574263274307 Mtonnes encore à gagner
2.9974207340507553 Mtonnes encore à gagner
2.997107484890421 Mtonnes encore à gagner
2.9948368223707966 Mtonnes encore à gagner
2.9948368223707966 Mtonnes encore à gagner
2.9947016452239685 Mtonnes encore à gagner
2.994635085554801 Mtonnes encore à gagner
2.9938440325075133 Mtonnes encore à gagner
2.990932546758863 Mtonnes encore à gagner
2.990932546758863 Mtonnes encore à gagner
2.990932546758863 Mtonnes encore à gagner
2.990932546758863 Mtonnes encore à gagner
2.990932546758863 Mtonnes encore à gagner
2.9896427313807994 Mtonnes encore à gagner
2.9799911272053743 Mtonnes encore à gagner
2.9778581444025516 Mtonnes encore à gagner
2.9776654614649143 Mtonnes encore à gagner
2.9773492651638476 Mtonnes encore à gagner
2.977215509651498 Mtonnes encore à gagner
2.9771197294375096 Mtonnes encore à gagner
2.9771197294375096 Mtonnes encore à gagner
2.9771197294375096 Mtonnes encore à gagner
