,MUS_CO_GEO,MUS_NM_MUN
0,52007,Lavaltrie
1,52017,Lanoraie
9,53040,Saint-Roch-de-Richelieu
10,53050,Saint-Joseph-de-Sorel
11,53052,Sorel-Tracy
19,55048,Marieville
20,55057,Richelieu
21,55065,Saint-Mathias-sur-Richelieu
25,56083,Saint-Jean-sur-Richelieu
27,57005,Chambly
28,57010,Carignan
29,57020,Saint-Basile-le-Grand
30,57025,McMasterville
31,57030,Otterburn Park
32,57033,Saint-Jean-Baptiste
33,57035,Mont-Saint-Hilaire
34,57040,Beloeil
35,57045,Saint-Mathieu-de-Beloeil
36,57050,Saint-Marc-sur-Richelieu
37,57057,Saint-Charles-sur-Richelieu
38,57068,Saint-Denis-sur-Richelieu
39,57075,Saint-Antoine-sur-Richelieu
40,58007,Brossard
41,58012,Saint-Lambert
42,58033,Boucherville
43,58037,Saint-Bruno-de-Montarville
44,58227,Longueuil
45,59010,Sainte-Julie
46,59015,Saint-Amable
47,59020,Varennes
48,59025,Verchères
49,59030,Calixa-Lavallée
50,59035,Contrecoeur
51,60005,Charlemagne
52,60013,Repentigny
53,60020,Saint-Sulpice
54,60028,L'Assomption
55,60037,L'Épiphanie
56,60990,TNO aquatique de la MRC de L'Assomption
57,61005,Saint-Paul
58,61013,Crabtree
59,61020,Saint-Pierre
60,61025,Joliette
61,61027,Saint-Thomas
62,61030,Notre-Dame-des-Prairies
63,61035,Saint-Charles-Borromée
68,62037,Rawdon
70,63005,Sainte-Marie-Salomé
71,63013,Saint-Jacques
72,63023,Saint-Alexis
73,63030,Saint-Esprit
74,63035,Saint-Roch-de-l'Achigan
75,63040,Saint-Roch-Ouest
76,63048,Saint-Lin--Laurentides
77,63055,Saint-Calixte
78,63060,Sainte-Julienne
79,63065,Saint-Liguori
80,64008,Terrebonne
81,64015,Mascouche
82,65005,Laval
83,66007,Montréal-Est
84,66023,Montréal
85,66032,Westmount
86,66047,Montréal-Ouest
87,66058,Côte-Saint-Luc
88,66062,Hampstead
89,66072,Mont-Royal
90,66087,Dorval
91,66092,L'Île-Dorval
92,66097,Pointe-Claire
93,66102,Kirkland
94,66107,Beaconsfield
95,66112,Baie-D'Urfé
96,66117,Sainte-Anne-de-Bellevue
97,66127,Senneville
98,66142,Dollard-Des Ormeaux
99,66940,TNO terrestre de la MRC géographique de Montréal
100,66990,TNO aquatique de la MRC géographique de Montréal
101,67005,Saint-Mathieu
102,67010,Saint-Philippe
103,67015,La Prairie
104,67020,Candiac
105,67025,Delson
106,67030,Sainte-Catherine
107,67035,Saint-Constant
108,67040,Saint-Isidore
109,67045,Mercier
110,67050,Châteauguay
111,67055,Léry
112,67802,Kahnawake
113,67940,TNO terrestre de la MRC de Roussillon
114,67990,TNO aquatique de la MRC de Roussillon
118,68025,Saint-Patrice-de-Sherrington
120,68040,Saint-Jacques-le-Mineur
121,68045,Saint-Édouard
122,68050,Saint-Michel
123,68055,Saint-Rémi
130,70005,Saint-Urbain-Premier
131,70012,Sainte-Martine
132,70022,Beauharnois
133,70030,Saint-Étienne-de-Beauharnois
134,70035,Saint-Louis-de-Gonzague
135,70040,Saint-Stanislas-de-Kostka
136,70052,Salaberry-de-Valleyfield
137,70990,TNO aquatique de la MRC de Beauharnois-Salaberry
138,71005,Rivière-Beaudette
139,71015,Saint-Télesphore
140,71020,Saint-Polycarpe
141,71025,Saint-Zotique
142,71033,Les Coteaux
143,71040,Coteau-du-Lac
144,71045,Saint-Clet
145,71050,Les Cèdres
146,71055,Pointe-des-Cascades
147,71060,L'Île-Perrot
148,71065,Notre-Dame-de-l'Île-Perrot
149,71070,Pincourt
150,71075,Terrasse-Vaudreuil
151,71083,Vaudreuil-Dorion
152,71090,Vaudreuil-sur-le-Lac
153,71095,L'Île-Cadieux
154,71100,Hudson
155,71105,Saint-Lazare
156,71110,Sainte-Marthe
157,71115,Sainte-Justine-de-Newton
158,71125,Très-Saint-Rédempteur
159,71133,Rigaud
160,71140,Pointe-Fortune
161,71990,TNO aquatique de la MRC de Vaudreuil-Soulanges
162,72005,Saint-Eustache
163,72010,Deux-Montagnes
164,72015,Sainte-Marthe-sur-le-Lac
165,72020,Pointe-Calumet
166,72025,Saint-Joseph-du-Lac
167,72032,Oka
168,72043,Saint-Placide
169,72802,Kanesatake
170,73005,Boisbriand
171,73010,Sainte-Thérèse
172,73015,Blainville
173,73020,Rosemère
174,73025,Lorraine
175,73030,Bois-des-Filion
176,73035,Sainte-Anne-des-Plaines
177,74005,Mirabel
178,75005,Saint-Colomban
179,75017,Saint-Jérôme
180,75028,Sainte-Sophie
181,75040,Prévost
182,75045,Saint-Hippolyte
183,75990,TNO aquatique de la MRC de La Rivière-du-Nord
184,76008,Saint-André-d'Argenteuil
185,76020,Lachute
186,76025,Gore
187,76030,Mille-Isles
188,76035,Wentworth
189,76043,Brownsburg-Chatham
194,77022,Sainte-Adèle
195,77030,Piedmont
196,77035,Sainte-Anne-des-Lacs
197,77043,Saint-Sauveur
198,77050,Morin-Heights
199,77055,Lac-des-Seize-Îles
200,77060,Wentworth-Nord
201,77065,Saint-Adolphe-d'Howard
