['1995', 'CHEVR', 'GMT-4', '8', '5740']
['1995', 'CHEVR', 'GMT-4', '8', '6510']
['1995', 'GMC', 'JIMMY', '6', '4297']
['1995', 'GMC', 'SIERR', '6', '4297']
['1995', 'GMC', 'SIERR', '8', '5002']
['1995', 'GMC', 'SIERR', '8', '5740']
['1995', 'GMC', 'SONOM', '4', '2181']
['1995', 'GMC', 'YUKON', '8', '5740']
['1995', 'JEEP', 'WRANG', '4', '2460']
['1995', 'JEEP', 'WRANG', '6', '3969']
['1995', 'MITSU', 'ECLIP', '4', '2001']
['1995', 'SATUR', 'SL1', '4', '1902']
['1995', 'TOYOT', 'TACOM', '4', '2689']
['1995', 'TOYOT', 'TACOM', '6', '3378']
['1996', 'CHEVR', 'GMT-4', '6', '4297']
['1996', 'CHEVR', 'GMT-4', '8', '5740']
['1996', 'GMC', 'SIERR', '6', '4297']
['1996', 'HONDA', 'ODYSS', '4', '2165']
['1996', 'OLDSM', '88', '6', '3788']
['1996', 'TOYOT', 'LAND', '6', '4477']
['1997', 'CHEVR', 'GMT-4', '8', '5002']
['1997', 'CHEVR', 'GMT-4', '8', '5740']
['1997', 'CHEVR', 'S', '6', '4297']
['1997', 'CHEVR', 'SUBUR', '8', '5740']
['1997', 'FORD', 'F350', '8', '7281']
['1997', 'GMC', 'SIERR', '6', '4297']
['1997', 'GMC', 'SIERR', '8', '5002']
['1997', 'GMC', 'SIERR', '8', '5740']
['1997', 'GMC', 'SIERR', '8', '6510']
['1997', 'GMC', 'SIERR', '8', '7445']
['1997', 'GMC', 'SONOM', '4', '2181']
['1997', 'GMC', 'SONOM', '6', '4297']
['1997', 'GMC', 'YUKON', '8', '5740']
['1997', 'JEEP', 'WRANG', '4', '2460']
['1997', 'JEEP', 'WRANG', '6', '3969']
['1997', 'OLDSM', 'LSS', '6', '3788']
['1997', 'SATUR', 'SL1', '4', '1902']
['1997', 'VOLKS', 'EUROV', '5', '2378']
['1997', 'VOLKS', 'EUROV', '6', '2788']
['1998', 'CHEVR', 'BLAZE', '6', '4297']
['1998', 'CHEVR', 'GMT-4', '6', '4297']
['1998', 'CHEVR', 'GMT-4', '8', '5002']
['1998', 'CHEVR', 'GMT-4', '8', '5740']
['1998', 'CHEVR', 'GMT-4', '8', '6510']
['1998', 'GMC', 'JIMMY', '6', '4297']
['1998', 'GMC', 'SIERR', '6', '4297']
['1998', 'GMC', 'SIERR', '8', '5002']
['1998', 'GMC', 'SIERR', '8', '5740']
['1998', 'GMC', 'SIERR', '8', '6510']
['1998', 'JEEP', 'WRANG', '4', '2460']
['1998', 'JEEP', 'WRANG', '6', '3969']
['1998', 'LINCO', 'TOWN', '8', '4608']
['1998', 'MERCU', 'GRAND', '4', '4608']
