ANNEE,MARQUE,MODELE,NB_CYL,CYLINDREE,EMISSION
1936,,,8,,"452,304"
1936,CHEVR,,4,,"452,304"
1938,FORD,,8,,"446,232"
1948,,,4,,"415,872"
1951,DODGE,,6,,"406,764"
1955,DODGE,,6,,"394,62"
1957,CHEVR,,8,,"388,548"
1958,VOLVO,,4,,"385,512"
1962,FORD,THUND,8,,"373,367999999999"
1963,FORD,FAIRL,8,,"370,332"
1963,MERCE,,6,,"370,332"
1963,PONTI,PARIS,6,,"370,332"
1965,CHEVR,CORVE,8,,"364,26"
1965,FORD,MUSTA,8,,"364,26"
1965,PONTI,ACADI,8,,"364,26"
1965,PORSC,,4,,"364,26"
1966,CHEVR,CORVE,8,,"361,224"
1966,DODGE,POLAR,8,,"361,224"
1966,FORD,MUSTA,8,,"361,224"
1966,JEEP,,4,,"361,224"
1967,FORD,MUSTA,8,,"358,188"
1968,CHEVR,CAMAR,8,,"355,152"
1968,DODGE,PICKU,8,,"355,152"
1968,PONTI,ACADI,8,,"355,152"
1968,VOLKS,BEETL,4,,"355,152"
1969,BUICK,,8,,"352,116"
1969,CHEVR,CORVE,8,,"352,116"
1969,DODGE,CHARG,8,,"352,116"
1969,FORD,MUSTA,8,,"352,116"
1969,MERCU,METEO,8,,"352,116"
1969,TRIUM,TR6,6,,"352,116"
1970,CHEVR,IMPAL,8,,"349,08"
1970,FORD,FAIRL,8,,"349,08"
1970,FORD,MUSTA,8,,"349,08"
1971,,,6,,"346,044"
1971,VOLKS,,4,,"346,044"
1971,VOLKS,WESTF,4,,"346,044"
1972,OLDSM,CUTLA,8,,"343,008"
1972,VOLKS,,4,,"343,008"
1973,,,4,,"339,972"
1973,FORD,TORIN,8,,"339,972"
1973,PLYMO,VALIA,8,,"339,972"
1974,AMER,,6,,"336,936"
1974,BMW,2002,4,,"336,936"
1974,PORSC,911,6,,"336,936"
1974,TRIUM,SPITF,4,,"336,936"
1975,BUICK,CENTU,8,,"333,9"
1975,BUICK,ELECT,8,,"333,9"
1975,CADIL,,8,,"333,9"
1975,CHEVR,CORVE,8,,"333,9"
1976,BUICK,CENTU,6,,"330,864"
1976,CADIL,DEVIL,8,,"330,864"
1976,CHEVR,CORVE,8,,"330,864"
1976,PONTI,GRAND,8,,"330,864"
1976,TRIUM,,4,,"330,864"
1976,TRIUM,,6,,"330,864"
1977,AUSTI,MINI,4,,"327,828"
1977,CHEVR,BLAZE,8,,"327,828"
1977,FORD,E150,8,,"327,828"
1977,FORD,F250,8,,"327,828"
1977,GMC,,8,,"327,828"
1977,MG,MGB,4,,"327,828"
1977,ROLLS,SILVE,8,,"327,828"
1978,CHEVR,NOVA,6,,"324,792"
1978,CHEVR,NOVA,8,,"324,792"
1978,PLYMO,FURY,8,,"324,792"
1978,PONTI,TRANS,8,,"324,792"
1979,,,8,,"321,756"
1979,CADIL,DEVIL,8,,"321,756"
1979,CHEVR,,8,,"321,756"
1979,CHEVR,CAMAR,8,,"321,756"
1979,CHEVR,CORVE,8,,"321,756"
1979,CHEVR,SUBUR,8,,"321,756"
1979,DODGE,ASPEN,8,,"321,756"
1979,FORD,F100,8,,"321,756"
1979,FORD,F150,8,,"321,756"
1979,PORSC,928,8,,"321,756"
1980,AMER,EAGLE,8,,"318,72"
1980,CADIL,ELDOR,8,,"318,72"
1980,CADIL,SEVIL,8,,"318,72"
1980,CHEVR,,6,,"318,72"
1980,CHEVR,,8,,"318,72"
1980,CHEVR,CORVE,8,,"318,72"
1980,JEEP,CJ7,6,,"318,72"
1980,MERCE,,5,,"318,72"
1981,HONDA,CIVIC,4,1328,"315,684"
1981,MERCE,,5,,"315,684"
1981,VOLKS,RABBI,4,1591,"315,684"
1982,CHEVR,CAMAR,8,5002,"312,648"
1983,ALFA,SPIDE,4,,"309,612"
1983,CHEVR,G20,6,4100,"309,612"
1983,FORD,MUSTA,6,3805,"309,612"
1983,LINCO,MARK,8,4952,"309,612"
1983,TOYOT,SUPRA,6,2755,"309,612"
1983,VOLKS,RABBI,4,1722,"309,612"
1984,AMER,ALLIA,4,1394,"306,576"
1984,CHEVR,K20,8,6215,"306,576"
1984,DODGE,D-SER,8,5215,"306,576"
1984,DODGE,RAM,8,5215,"306,576"
1984,FORD,F150,6,4920,"306,576"
1984,GMC,VANDU,8,5002,"306,576"
1984,PORSC,944,4,2476,"306,576"
1984,VOLKS,SCIRO,4,1787,"306,576"
1984,VOLKS,VANAG,4,1919,"306,576"
1985,DODGE,D-SER,6,3690,"303,54"
1985,FORD,F250,8,6888,"303,54"
1985,GMC,S,4,2476,"303,54"
1985,GMC,SUBUR,8,6215,"303,54"
1985,JEEP,JEEP,6,4231,"303,54"
1985,PONTI,FIREB,8,5002,"303,54"
1985,TOYOT,SUPRA,6,2755,"303,54"
1985,VOLKS,TRANS,4,1919,"303,54"
1985,VOLKS,VANAG,4,1919,"303,54"
1986,BMW,528,6,2689,"300,504"
1986,CADIL,DEVIL,8,4083,"300,504"
1986,DODGE,D-SER,6,3690,"300,504"
1986,FORD,ECONO,8,4952,"300,504"
1986,FORD,F350,8,7544,"300,504"
1986,GMC,K1500,8,5740,"300,504"
1986,MERCE,560,8,5559,"300,504"
1986,OLDSM,CUTLA,6,3788,"300,504"
1986,PONTI,FIREB,6,2837,"300,504"
1986,PONTI,FIREB,8,5002,"300,504"
1986,TOYOT,PICKU,4,2361,"300,504"
1986,VOLKS,VANAG,4,2115,"300,504"
1987,BMW,,6,,"297,468"
1987,CADIL,DEVIL,8,4083,"297,468"
1987,CHEVR,CAPRI,8,5002,"297,468"
1987,CHEVR,CORVE,8,5740,"297,468"
1987,CHEVR,S,6,2837,"297,468"
1987,CHEVR,SPORT,8,6215,"297,468"
1987,DODGE,D-SER,8,5215,"297,468"
1987,DODGE,RAM,8,5215,"297,468"
1987,FORD,CROWN,8,4952,"297,468"
1987,FORD,F350,8,6888,"297,468"
1987,FORD,F350,8,7544,"297,468"
1987,GMC,R15,8,5002,"297,468"
1987,GMC,V15,8,5740,"297,468"
1987,MERCE,560,8,5559,"297,468"
1987,NISSA,PULSA,4,1591,"297,468"
1987,OLDSM,CUTLA,6,3788,"297,468"
1987,PONTI,FIREB,8,5740,"297,468"
1987,PORSC,928,8,4952,"297,468"
1987,VOLKS,CABRI,4,1787,"297,468"
1987,VOLKS,JETTA,4,1787,"297,468"
1988,CHEVR,ASTRO,6,4297,"294,432"
1988,CHEVR,BLAZE,6,4297,"294,432"
1988,CHEVR,CAVAL,4,1984,"294,432"
1988,CHEVR,CAVAL,6,2837,"294,432"
1988,CHEVR,G30,8,5740,"294,432"
1988,CHEVR,P30,8,6215,"294,432"
1988,CHRYS,DAYTO,4,2214,"294,432"
1988,CHRYS,NEWYO,6,2968,"294,432"
1988,DODGE,RAM,8,5215,"294,432"
1988,FORD,ECONO,6,4900,"294,432"
1988,FORD,ECONO,8,5756,"294,432"
1988,FORD,RANGE,6,2903,"294,432"
1988,GMC,GMT-4,6,4297,"294,432"
1988,GMC,GMT-4,8,5002,"294,432"
1988,GMC,GMT-4,8,5740,"294,432"
1988,GMC,S15,6,2837,"294,432"
1988,JEEP,WRANG,6,4231,"294,432"
1988,LANDR,,4,,"294,432"
1988,MAZDA,MX-6,4,2181,"294,432"
1988,MERCE,560,8,5543,"294,432"
1988,OLDSM,98,6,3788,"294,432"
1988,PONTI,FIREB,8,5002,"294,432"
1988,TOYOT,LAND,6,4001,"294,432"
1989,CHEVR,CAMAR,8,5002,"291,396"
1989,CHEVR,CAPRI,8,5002,"291,396"
1989,CHEVR,GMT-4,8,5002,"291,396"
1989,CHEVR,SUBUR,8,5740,"291,396"
1989,DODGE,RAM,6,3903,"291,396"
1989,DODGE,RAM,8,5215,"291,396"
1989,DODGE,RAM,8,5904,"291,396"
1989,FORD,F250,8,7544,"291,396"
1989,FORD,RANGE,6,2903,"291,396"
1989,GEO,TRACK,4,1591,"291,396"
1989,GMC,JIMMY,8,5740,"291,396"
1989,GMC,SIERR,6,4297,"291,396"
1989,GMC,SIERR,8,5002,"291,396"
1989,GMC,SIERR,8,5740,"291,396"
1989,GMC,SIERR,8,6215,"291,396"
1989,GMC,VANDU,8,5740,"291,396"
1989,JEEP,WRANG,6,4231,"291,396"
1989,MAZDA,B2600,4,2558,"291,396"
1989,NISSA,SKYLI,4,,"291,396"
1989,PONTI,TEMPE,4,1984,"291,396"
1989,SUZUK,SIDEK,4,1591,"291,396"
1989,TOYOT,SUPRA,6,2952,"291,396"
1990,AUDI,COUPE,5,2312,"288,36"
1990,CHEVR,BLAZE,8,5740,"288,36"
1990,CHEVR,CAPRI,8,5002,"288,36"
1990,CHEVR,CAPRI,8,5034,"288,36"
