ANNEE,MARQUE,MODELE,NB_CYL,CYLINDREE,EMISSION,GROUPES
1936,,,8.0,,452.30400000000014,9
1936,CHEVR,,4.0,,452.30400000000014,9
1938,FORD,,8.0,,446.232,9
1948,,,4.0,,415.8720000000003,9
1951,DODGE,,6.0,,406.7640000000002,9
1955,DODGE,,6.0,,394.61999999999983,9
1957,CHEVR,,8.0,,388.54799999999983,9
1958,VOLVO,,4.0,,385.5119999999997,9
1962,FORD,THUND,8.0,,373.3679999999995,9
1963,FORD,FAIRL,8.0,,370.3320000000003,9
1963,MERCE,,6.0,,370.3320000000003,9
1963,PONTI,PARIS,6.0,,370.3320000000003,9
1965,CHEVR,CORVE,8.0,,364.26000000000016,9
1965,FORD,MUSTA,8.0,,364.26000000000016,9
1965,PONTI,ACADI,8.0,,364.26000000000016,9
1965,PORSC,,4.0,,364.26000000000016,9
1966,CHEVR,CORVE,8.0,,361.22400000000016,9
1966,DODGE,POLAR,8.0,,361.22400000000016,9
1966,FORD,MUSTA,8.0,,361.22400000000016,9
1966,JEEP,,4.0,,361.22400000000016,9
1967,FORD,MUSTA,8.0,,358.18800000000016,9
1968,CHEVR,CAMAR,8.0,,355.1520000000001,9
1968,DODGE,PICKU,8.0,,355.1520000000001,9
1968,PONTI,ACADI,8.0,,355.1520000000001,9
1968,VOLKS,BEETL,4.0,,355.1520000000001,9
1969,BUICK,,8.0,,352.116,8
1969,CHEVR,CORVE,8.0,,352.116,8
1969,DODGE,CHARG,8.0,,352.116,8
1969,FORD,MUSTA,8.0,,352.116,8
1969,MERCU,METEO,8.0,,352.116,8
1969,TRIUM,TR6,6.0,,352.116,8
1970,CHEVR,IMPAL,8.0,,349.07999999999987,8
1970,FORD,FAIRL,8.0,,349.07999999999987,8
1970,FORD,MUSTA,8.0,,349.07999999999987,8
1971,,,6.0,,346.04399999999987,8
1971,VOLKS,,4.0,,346.04399999999987,8
1971,VOLKS,WESTF,4.0,,346.04399999999987,8
1972,OLDSM,CUTLA,8.0,,343.0079999999998,8
1972,VOLKS,,4.0,,343.0079999999998,8
1973,,,4.0,,339.97199999999975,8
1973,FORD,TORIN,8.0,,339.97199999999975,8
1973,PLYMO,VALIA,8.0,,339.97199999999975,8
1974,AMER,,6.0,,336.9359999999997,8
1974,BMW,2002,4.0,,336.9359999999997,8
1974,PORSC,911,6.0,,336.9359999999997,8
1974,TRIUM,SPITF,4.0,,336.9359999999997,8
1975,BUICK,CENTU,8.0,,333.89999999999964,8
1975,BUICK,ELECT,8.0,,333.89999999999964,8
1975,CADIL,,8.0,,333.89999999999964,8
1975,CHEVR,CORVE,8.0,,333.89999999999964,8
1976,BUICK,CENTU,6.0,,330.86399999999963,8
1976,CADIL,DEVIL,8.0,,330.86399999999963,8
1976,CHEVR,CORVE,8.0,,330.86399999999963,8
1976,PONTI,GRAND,8.0,,330.86399999999963,8
1976,TRIUM,,4.0,,330.86399999999963,8
1976,TRIUM,,6.0,,330.86399999999963,8
1977,AUSTI,MINI,4.0,,327.8279999999995,8
1977,CHEVR,BLAZE,8.0,,327.8279999999995,8
1977,FORD,E150,8.0,,327.8279999999995,8
1977,FORD,F250,8.0,,327.8279999999995,8
1977,GMC,,8.0,,327.8279999999995,8
1977,MG,MGB,4.0,,327.8279999999995,8
1977,ROLLS,SILVE,8.0,,327.8279999999995,8
1978,CHEVR,NOVA,6.0,,324.79200000000037,8
1978,CHEVR,NOVA,8.0,,324.79200000000037,8
1978,PLYMO,FURY,8.0,,324.79200000000037,8
1978,PONTI,TRANS,8.0,,324.79200000000037,8
1979,,,8.0,,321.7560000000003,8
1979,CADIL,DEVIL,8.0,,321.7560000000003,8
1979,CHEVR,,8.0,,321.7560000000003,8
1979,CHEVR,CAMAR,8.0,,321.7560000000003,8
1979,CHEVR,CORVE,8.0,,321.7560000000003,8
1979,CHEVR,SUBUR,8.0,,321.7560000000003,8
1979,DODGE,ASPEN,8.0,,321.7560000000003,8
1979,FORD,F100,8.0,,321.7560000000003,8
1979,FORD,F150,8.0,,321.7560000000003,8
1979,PORSC,928,8.0,,321.7560000000003,8
1980,AMER,EAGLE,8.0,,318.72000000000025,8
1980,CADIL,ELDOR,8.0,,318.72000000000025,8
1980,CADIL,SEVIL,8.0,,318.72000000000025,8
1980,CHEVR,,6.0,,318.72000000000025,8
1980,CHEVR,,8.0,,318.72000000000025,8
1980,CHEVR,CORVE,8.0,,318.72000000000025,8
1980,JEEP,CJ7,6.0,,318.72000000000025,8
1980,MERCE,,5.0,,318.72000000000025,8
1981,HONDA,CIVIC,4.0,1328.0,315.6840000000002,8
1981,MERCE,,5.0,,315.6840000000002,8
1981,VOLKS,RABBI,4.0,1591.0,315.6840000000002,8
1982,CHEVR,CAMAR,8.0,5002.0,312.64800000000014,8
1983,ALFA,SPIDE,4.0,,309.61200000000014,7
1983,CHEVR,G20,6.0,4100.0,309.61200000000014,7
1983,FORD,MUSTA,6.0,3805.0,309.61200000000014,7
1983,LINCO,MARK,8.0,4952.0,309.61200000000014,7
1983,TOYOT,SUPRA,6.0,2755.0,309.61200000000014,7
1983,VOLKS,RABBI,4.0,1722.0,309.61200000000014,7
1984,AMER,ALLIA,4.0,1394.0,306.57599999999996,7
1984,CHEVR,K20,8.0,6215.0,306.57599999999996,7
1984,DODGE,D-SER,8.0,5215.0,306.57599999999996,7
1984,DODGE,RAM,8.0,5215.0,306.57599999999996,7
1984,FORD,F150,6.0,4920.0,306.57599999999996,7
1984,GMC,VANDU,8.0,5002.0,306.57599999999996,7
1984,PORSC,944,4.0,2476.0,306.57599999999996,7
1984,VOLKS,SCIRO,4.0,1787.0,306.57599999999996,7
1984,VOLKS,VANAG,4.0,1919.0,306.57599999999996,7
1985,DODGE,D-SER,6.0,3690.0,303.54,7
1985,FORD,F250,8.0,6888.0,303.54,7
1985,GMC,S,4.0,2476.0,303.54,7
1985,GMC,SUBUR,8.0,6215.0,303.54,7
1985,JEEP,JEEP,6.0,4231.0,303.54,7
1985,PONTI,FIREB,8.0,5002.0,303.54,7
1985,TOYOT,SUPRA,6.0,2755.0,303.54,7
1985,VOLKS,TRANS,4.0,1919.0,303.54,7
1985,VOLKS,VANAG,4.0,1919.0,303.54,7
1986,BMW,528,6.0,2689.0,300.5039999999999,7
1986,CADIL,DEVIL,8.0,4083.0,300.5039999999999,7
1986,DODGE,D-SER,6.0,3690.0,300.5039999999999,7
1986,FORD,ECONO,8.0,4952.0,300.5039999999999,7
1986,FORD,F350,8.0,7544.0,300.5039999999999,7
1986,GMC,K1500,8.0,5740.0,300.5039999999999,7
1986,MERCE,560,8.0,5559.0,300.5039999999999,7
1986,OLDSM,CUTLA,6.0,3788.0,300.5039999999999,7
1986,PONTI,FIREB,6.0,2837.0,300.5039999999999,7
1986,PONTI,FIREB,8.0,5002.0,300.5039999999999,7
1986,TOYOT,PICKU,4.0,2361.0,300.5039999999999,7
1986,VOLKS,VANAG,4.0,2115.0,300.5039999999999,7
1987,BMW,,6.0,,297.4679999999998,7
1987,CADIL,DEVIL,8.0,4083.0,297.4679999999998,7
1987,CHEVR,CAPRI,8.0,5002.0,297.4679999999998,7
1987,CHEVR,CORVE,8.0,5740.0,297.4679999999998,7
1987,CHEVR,S,6.0,2837.0,297.4679999999998,7
1987,CHEVR,SPORT,8.0,6215.0,297.4679999999998,7
1987,DODGE,D-SER,8.0,5215.0,297.4679999999998,7
1987,DODGE,RAM,8.0,5215.0,297.4679999999998,7
1987,FORD,CROWN,8.0,4952.0,297.4679999999998,7
1987,FORD,F350,8.0,6888.0,297.4679999999998,7
1987,FORD,F350,8.0,7544.0,297.4679999999998,7
1987,GMC,R15,8.0,5002.0,297.4679999999998,7
1987,GMC,V15,8.0,5740.0,297.4679999999998,7
1987,MERCE,560,8.0,5559.0,297.4679999999998,7
1987,NISSA,PULSA,4.0,1591.0,297.4679999999998,7
1987,OLDSM,CUTLA,6.0,3788.0,297.4679999999998,7
1987,PONTI,FIREB,8.0,5740.0,297.4679999999998,7
1987,PORSC,928,8.0,4952.0,297.4679999999998,7
1987,VOLKS,CABRI,4.0,1787.0,297.4679999999998,7
1987,VOLKS,JETTA,4.0,1787.0,297.4679999999998,7
1988,CHEVR,ASTRO,6.0,4297.0,294.4319999999998,7
1988,CHEVR,BLAZE,6.0,4297.0,294.4319999999998,7
1988,CHEVR,CAVAL,4.0,1984.0,294.4319999999998,7
1988,CHEVR,CAVAL,6.0,2837.0,294.4319999999998,7
1988,CHEVR,G30,8.0,5740.0,294.4319999999998,7
1988,CHEVR,P30,8.0,6215.0,294.4319999999998,7
1988,CHRYS,DAYTO,4.0,2214.0,294.4319999999998,7
1988,CHRYS,NEWYO,6.0,2968.0,294.4319999999998,7
1988,DODGE,RAM,8.0,5215.0,294.4319999999998,7
1988,FORD,ECONO,6.0,4900.0,294.4319999999998,7
1988,FORD,ECONO,8.0,5756.0,294.4319999999998,7
1988,FORD,RANGE,6.0,2903.0,294.4319999999998,7
1988,GMC,GMT-4,6.0,4297.0,294.4319999999998,7
1988,GMC,GMT-4,8.0,5002.0,294.4319999999998,7
1988,GMC,GMT-4,8.0,5740.0,294.4319999999998,7
1988,GMC,S15,6.0,2837.0,294.4319999999998,7
1988,JEEP,WRANG,6.0,4231.0,294.4319999999998,7
1988,LANDR,,4.0,,294.4319999999998,7
1988,MAZDA,MX-6,4.0,2181.0,294.4319999999998,7
1988,MERCE,560,8.0,5543.0,294.4319999999998,7
1988,OLDSM,98,6.0,3788.0,294.4319999999998,7
1988,PONTI,FIREB,8.0,5002.0,294.4319999999998,7
1988,TOYOT,LAND,6.0,4001.0,294.4319999999998,7
1989,CHEVR,CAMAR,8.0,5002.0,291.39599999999973,7
1989,CHEVR,CAPRI,8.0,5002.0,291.39599999999973,7
1989,CHEVR,GMT-4,8.0,5002.0,291.39599999999973,7
1989,CHEVR,SUBUR,8.0,5740.0,291.39599999999973,7
1989,DODGE,RAM,6.0,3903.0,291.39599999999973,7
1989,DODGE,RAM,8.0,5215.0,291.39599999999973,7
1989,DODGE,RAM,8.0,5904.0,291.39599999999973,7
1989,FORD,F250,8.0,7544.0,291.39599999999973,7
1989,FORD,RANGE,6.0,2903.0,291.39599999999973,7
1989,GEO,TRACK,4.0,1591.0,291.39599999999973,7
1989,GMC,JIMMY,8.0,5740.0,291.39599999999973,7
1989,GMC,SIERR,6.0,4297.0,291.39599999999973,7
1989,GMC,SIERR,8.0,5002.0,291.39599999999973,7
1989,GMC,SIERR,8.0,5740.0,291.39599999999973,7
1989,GMC,SIERR,8.0,6215.0,291.39599999999973,7
1989,GMC,VANDU,8.0,5740.0,291.39599999999973,7
1989,JEEP,WRANG,6.0,4231.0,291.39599999999973,7
1989,MAZDA,B2600,4.0,2558.0,291.39599999999973,7
1989,NISSA,SKYLI,4.0,,291.39599999999973,7
1989,PONTI,TEMPE,4.0,1984.0,291.39599999999973,7
1989,SUZUK,SIDEK,4.0,1591.0,291.39599999999973,7
1989,TOYOT,SUPRA,6.0,2952.0,291.39599999999973,7
1990,AUDI,COUPE,5.0,2312.0,288.3599999999997,7
1990,CHEVR,BLAZE,8.0,5740.0,288.3599999999997,7
1990,CHEVR,CAPRI,8.0,5002.0,288.3599999999997,7
1990,CHEVR,CAPRI,8.0,5034.0,288.3599999999997,7
1990,CHEVR,CORVE,8.0,5740.0,288.3599999999997,7
1990,CHEVR,GMT-4,8.0,5002.0,288.3599999999997,7
1990,CHEVR,GMT-4,8.0,5740.0,288.3599999999997,7
1990,CHEVR,R3500,8.0,6215.0,288.3599999999997,7
1990,FORD,F150,8.0,4952.0,288.3599999999997,7
1990,FORD,F250,8.0,7544.0,288.3599999999997,7
1990,FORD,RANGE,6.0,2903.0,288.3599999999997,7
1990,GMC,GEO,4.0,1591.0,288.3599999999997,7
1990,GMC,SIERR,8.0,5002.0,288.3599999999997,7
1990,GMC,SIERR,8.0,5740.0,288.3599999999997,7
