annee,nvx_veh,cumul,flotte,part_flotte,,,,,,,,,
2011,195,195,4365090,"4,46726184339842E-05",,,,,,,,,
2012,1006,1201,4429283,"0,000271149980708",,,,,,,,,
2013,972,2173,4502414,"0,000482629984715",,,,,,,,,
2014,2981,5154,4543644,"0,001134331827053",,,,,,,,,
2015,3214,8368,4598166,"0,001819856003459",,,,,,,,,
2016,5086,13454,4671968,"0,002879728628278",,,,,,,,,
2017,8476,21930,4758010,"0,004609069758155",,,,,,,,,
2018,17461,39391,4779332,"0,008241946782521",,,,,,,,,
2019,27248,66639,4836544,"0,013778226766882",,,,,,,,,
2020,25869,92508,,,,,,,,,,,
,,,,,,,,,,,,,
,92508,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,4365090,4429283,4502414,4543644,4598166,4671968,4758010,4779332,4836544
